County,Precinct Number,Location,Address,Zipcode
Brevard,212,Dr. Joe Lee Smith Community Center,"415 Stone St, Cocoa, FL",32922
Brevard,213,Dr. Joe Lee Smith Community Center,"415 Stone St, Cocoa, FL",32922
Brevard,214,Bethel Baptist Church,"1950 Michigan Ave, Cocoa, FL",32922
Brevard,215,Riverside Presbyterian Church,"3400 N Atlantic Ave, Cocoa Beach, FL",32931
Brevard,216,Woody Simpson Park,"1590 Schoolhouse St, Merritt Island, FL",32953
Brevard,217,Lighthouse Christian Church,"1250 N Banana River Dr, Merritt Island, FL",32952
Brevard,218,St. David's by the Sea Episcopal Church,"600 S 4th St, Cocoa Beach, FL",32931
Brevard,219,Cocoa/Rockledge Garden Club,"1493 S Fiske Blvd, Rockledge, FL",32955
Brevard,220,Cape Canaveral Community Center,"7920 Orange Ave, Cape Canaveral, FL",32920
Brevard,221,Riverside Presbyterian Church,"3400 N Atlantic Ave, Cocoa Beach, FL",32931
Brevard,222,St. David's by the Sea Episcopal Church,"600 S 4th St, Cocoa Beach, FL",32931
Brevard,223,Trinity Wellsprings Church,"638 South Patrick Dr, Satellite Beach, FL",32937
Brevard,224,Hope United Church of Christ,"2555 S Fiske Blvd, Rockledge, FL",32955
Brevard,225,Cape Canaveral Community Center,"7920 Orange Ave, Cape Canaveral, FL",32920
Brevard,226,Cape Canaveral Community Center,"7920 Orange Ave, Cape Canaveral, FL",32920
Brevard,227,Bethel Baptist Church,"1950 Michigan Ave, Cocoa, FL",32922
Brevard,228,Hope United Church of Christ,"2555 S Fiske Blvd, Rockledge, FL",32955
Brevard,229,David R. Schechter Community Center,"1089 South Patrick Dr, Satellite Beach, FL",32937
Brevard,230,Walter Butler Community Center,"4201 N US Hwy 1, Cocoa, FL",32927
Brevard,231,Clearlake Education Center,"1225 Clearlake Rd, Cocoa, FL",32922
Brevard,233,Dr. Joe Lee Smith Community Center,"415 Stone St, Cocoa, FL",32922
Brevard,235,Kiwanis Island Park Gym,"950 Kiwanis Island Park Rd, Merritt Island, FL",32952
Brevard,236,St. David's by the Sea Episcopal Church,"600 S 4th St, Cocoa Beach, FL",32931
Brevard,237,Brevard Baptist Association,"4235 S US Hwy1, Rockledge, FL",32955
Brevard,240,Kiwanis Island Park Gym,"950 Kiwanis Island Park Rd, Merritt Island, FL",32952
Brevard,241,Hope United Church of Christ,"2555 S Fiske Blvd, Rockledge, FL",32955
Brevard,242,Cross Bridge Church,"651 Barnes Blvd, Rockledge, FL",32955
Brevard,243,Palm Shores Town Hall,"5030 Paul Hurtt Ln, Palm Shores, FL",32940
Brevard,244,Supervisor of Elections Office,"400 South St., Titusville, FL",32780
Brevard,300,Joseph N. Davis Community Center,"2547 Grant St, Melbourne, FL",32901
Brevard,301,First Baptist Church of Malabar,"1665 Malabar Rd, Malabar, FL",32950
Brevard,302,Grant Community Center,"4580 1st St, Grant, FL",32949
Brevard,303,Peace Lutheran Church,"1801 Port Malabar Blvd NE, Palm Bay, FL",32905
Brevard,304,Barefoot Bay Building A,"625 Barefoot Blvd, Barefoot Bay, FL",32976
Brevard,305,Town Hall Community Center,"509 Ocean Ave, Melbourne Beach, FL",32951
Brevard,306,"Eddie Lee Taylor, Sr. Community Center","3316 Monroe St, Melbourne, FL",32901
Brevard,307,Max K. Rodes Park Comm Center,"3410 Flanagan Ave, West Melbourne, FL",32904
Brevard,308,Church of Our Savior,"1000 Jersey Ln NE, Palm Bay, FL",32905
Brevard,309,Veterans Memorial Complex,"2285 Minton Rd, West Melbourne, FL",32904
Brevard,310,Central Baptist Church,"2503 S Country Club Rd, Melbourne, FL",32901
Brevard,311,South Beach Community Center,"500 Old Florida Trail, Melbourne Beach, FL",32951
Brevard,312,Barefoot Bay Building A,"625 Barefoot Blvd, Barefoot Bay, FL",32976
Brevard,313,Franklin T. DeGroodt Memorial Library,"6475 Minton Rd SE, Palm Bay, FL",32908
Brevard,314,Palm Bay (Tony Rosa) Community Center,"1502 Port Malabar Blvd NE, Palm Bay, FL",32905
Brevard,316,Palm Bay Fire Station #4,"1200 San Filippo Dr SE, Palm Bay, FL",32909
Brevard,317,Presbyterian Ch of the Good Shepherd,"810 W Florida Ave, Melbourne, FL",32901
Brevard,318,South Beach Community Center,"500 Old Florida Trail, Melbourne Beach, FL",32951
Brevard,320,EFSC Palm Bay - Community Dining Rm,"250 Community College Pkwy SE, Palm Bay, FL",32909
Brevard,322,Community of Christ,"1901 Emerson Dr SE, Palm Bay, FL",32909
Brevard,323,Front Street Civic Center,"2205 Front St, Melbourne, FL",32901
Brevard,324,Town Hall Community Center,"509 Ocean Ave, Melbourne Beach, FL",32951
Brevard,325,Iglesia Cristiana Elohim Church,"2170 Malabar Rd, Malabar, FL",32950
Brevard,326,Iglesia Cristiana Elohim Church,"2170 Malabar Rd, Malabar, FL",32950
Brevard,327,Iglesia Cristiana Elohim Church,"2170 Malabar Rd, Malabar, FL",32950
Brevard,328,First Baptist Church of Malabar,"1665 Malabar Rd, Malabar, FL",32950
Brevard,329,Central Baptist Church,"2503 S Country Club Rd, Melbourne, FL",32901
Brevard,400,St. Timothy Lutheran Church Friendship Hall,"1903 Croton Rd, Melbourne, FL",32935
Brevard,402,Wickham Park Community Center,"2815 Leisure Way, Melbourne, FL",32935
Brevard,403,Emmanuel United Methodist Church,"2800 W Eau Gallie Blvd, Melbourne, FL",32935
Brevard,404,Trinity Wellsprings Church,"638 South Patrick Dr, Satellite Beach, FL",32937
Brevard,405,Scotty Culp Municipal Complex,"565 Cassia Blvd, Satellite Beach, FL",32937
Brevard,406,The Springs of Suntree,"8300 Holiday Springs Rd, Melbourne, FL",32940
Brevard,407,St. Timothy Lutheran Church Friendship Hall,"1903 Croton Rd, Melbourne, FL",32935
Brevard,408,Eau Gallie Civic Center,"1551 Highland Ave, Melbourne, FL",32935
Brevard,409,I H B City Hall Council Chambers,"2055 South Patrick Dr, Indian Harbour Beach, FL",32937
Brevard,410,Palm Shores Town Hall,"5030 Paul Hurtt Ln, Palm Shores, FL",32940
Brevard,411,I H B City Hall Council Chambers,"2055 South Patrick Dr, Indian Harbour Beach, FL",32937
Brevard,412,Brevard Baptist Association,"4235 S US Hwy1, Rockledge, FL",32955
Brevard,414,Wickham Park Community Center,"2815 Leisure Way, Melbourne, FL",32935
Brevard,415,David R. Schechter Community Center,"1089 South Patrick Dr, Satellite Beach, FL",32937
Brevard,418,Viera Regional Community Center,"2300 Judge Fran Jamieson Way, Melbourne, FL",32940
Brevard,419,Indian River Colony Club,"1600 Old Glory Blvd, Melbourne, FL",32940
Brevard,420,St Katherine Greek Orthodox Church,"5965 N Wickham Rd, Melbourne, FL",32940
Brevard,421,Suntree United Methodist Church,"7400 N Wickham Rd, Melbourne, FL",32940
Brevard,422,First Baptist Ch of South Brevard,"4300 N Wickham Rd, Melbourne, FL",32935
Brevard,424,Church at Viera,"9005 N Wickham Rd, Melbourne, FL",32940
Brevard,425,Cross Bridge Church,"651 Barnes Blvd, Rockledge, FL",32955
Brevard,426,Beacon Baptist Church,"3185 Aurora Rd, Melbourne, FL",32934
Brevard,427,Faith Fellowship Church,"2820 Business Center Blvd, Melbourne, FL",32940
Brevard,428,Faith Viera Lutheran Church,"5550 Faith Dr, Rockledge, FL",32955
Brevard,429,Church at Viera,"9005 N Wickham Rd, Melbourne, FL",32940
Brevard,430,Suntree United Methodist Church,"7400 N Wickham Rd, Melbourne, FL",32940
Brevard,431,Prince of Peace Anglican Church,"6895 Murrell Rd, Melbourne, FL",32940
Brevard,432,I H B City Hall Council Chambers,"2055 South Patrick Dr, Indian Harbour Beach, FL",32937
Brevard,434,I H B City Hall Council Chambers,"2055 South Patrick Dr, Indian Harbour Beach, FL",32937
Brevard,435,Viera Regional Community Center,"2300 Judge Fran Jamieson Way, Melbourne, FL",32940
Brevard,436,Faith Viera Lutheran Church,"5550 Faith Dr, Rockledge, FL",32955
Brevard,437,David R. Schechter Community Center,"1089 South Patrick Dr, Satellite Beach, FL",32937
Brevard,440,Viera Regional Community Center,"2300 Judge Fran Jamieson Way, Melbourne, FL",32940
Brevard,441,Addison Village Club,"8150 Stadium Pkwy, Melbourne, FL",32940
Brevard,442,Cross Bridge Church,"651 Barnes Blvd, Rockledge, FL",32955
Brevard,443,Prince of Peace Anglican Church,"6895 Murrell Rd, Melbourne, FL",32940
Brevard,444,Trinity Wellsprings Church,"638 South Patrick Dr, Satellite Beach, FL",32937
Brevard,500,Tropical Haven Auditorium,"1205 S Eddie Allen Rd, Melbourne, FL",32901
Brevard,501,American Homesteading Foundation,"535 Hammock Rd, Melbourne Village, FL",32904
Brevard,502,Eau Gallie First Baptist Church,"1501 W Eau Gallie Blvd, Melbourne, FL",32935
Brevard,504,New Shiloh Christian Center,"3900 Sarno Rd, Melbourne, FL",32934
Brevard,505,First Baptist Church of Indialantic,"170 Washington Ave, Indialantic, FL",32903
Brevard,506,Eastminster Presbyterian Church,"106 N Riverside Dr, Indialantic, FL",32903
Brevard,507,Bowe Gardens Baptist Church,"2700 Sarno Rd, Melbourne, FL",32935
Brevard,508,Riverside Baptist Church,"3333 N Riverside Dr, Indialantic, FL",32903
Brevard,509,Front Street Civic Center,"2205 Front St, Melbourne, FL",32901
Brevard,510,Greater Palm Bay Senior Center,"1275 Culver Dr NE, Palm Bay, FL",32907
Brevard,511,Beacon Baptist Church,"3185 Aurora Rd, Melbourne, FL",32934
Brevard,512,Max K. Rodes Park Comm Center,"3410 Flanagan Ave, West Melbourne, FL",32904
Brevard,513,EFSC Palm Bay - Community Dining Rm,"250 Community College Pkwy SE, Palm Bay, FL",32909
Brevard,515,Riverside Baptist Church,"3333 N Riverside Dr, Indialantic, FL",32903
Brevard,516,Palm Bay City Hall Council Chambers,"120 Malabar Rd SE, Palm Bay, FL",32907
Brevard,517,Faith Baptist Church of Palm Bay,"341 Emerson Dr NW, Palm Bay, FL",32907
Brevard,518,Harbor City Christian Church Hall,"3210 Aurora Rd, Melbourne, FL",32934
Brevard,519,Ted Whitlock Community Center,"370 Championship Cir NW, Palm Bay, FL",32907
Brevard,520,Glory Bound Church of God,"2855 Jupiter Blvd SE, Palm Bay, FL",32909
Brevard,522,EFSC Palm Bay - Community Dining Rm,"250 Community College Pkwy SE, Palm Bay, FL",32909
